SampleID	exclude	interferent	spike_amount	spike_unit	cancer_group_expected	cancer_is_expected	cancer_is_detected	cancer_detection_is_correct	cancer_type_predicted	tm_extraction_quant_concentration	analysis_on_binary_target_coverage_stats_mean	analysis_abnormal_coverage_cpg_mean
C	FALSE	Hemoglobin	2000	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.909	174.3421	0.8412039
NC	FALSE	Triglycerides	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.14	162.6971	0.1679662
C	FALSE	Triglycerides	400	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.952	142.9002	0.9554884
C	FALSE	Hemoglobin	500	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.949	207.5584	0.9322291
C	FALSE	Bilirubin	5	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.18	152.8564	0.7077105
C	FALSE	Hemoglobin	500	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.18	208.4739	1.03035
C	FALSE	Triglycerides	400	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.989	209.2682	1.37517
NC	FALSE	gDNA	50	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.076	240.522	0.2179367
NC	FALSE	gDNA	100	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.329	215.4365	0.2060978
NC	FALSE	Triglycerides	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.942	199.7355	0.1943572
NC	FALSE	Triglycerides	200	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.059	142.4241	0.1692596
C	FALSE	Hemoglobin	500	mg/dL	cancer	TRUE	TRUE	TRUE	colorectal	1.155	6.8403	0.3652359
C	FALSE	Hemoglobin	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.202	174.9877	0.827952
C	FALSE	gDNA	100	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.178	220.2569	1.029497
C	TRUE	Hemoglobin	2000	mg/dL	cancer	TRUE	TRUE	TRUE	indeterminate_localization	0.925	4.0869	0.04483274
NC	FALSE	gDNA	0	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.14	158.9072	0.1637869
C	FALSE	Triglycerides	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.061	147.0215	1.150787
NC	FALSE	Hemoglobin	1000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.095	185.032	0.1904686
C	TRUE	gDNA	150	%	cancer	TRUE	TRUE	TRUE	indeterminate_localization	1.259	11.8558	0.05723979
